input_text,target_text
pningkatan,peningkatan
bgiasanya,biasanya
jnyebar,menyebar
nji,juni
qwsimbol,simbol
isten,asisten
yaji,haji
mjemperlihatkan,memperlihatkan
iji,biji
opmbangkit,pembangkit
ekoasia,kroasia
eisir,pesisir
poerkotaan,perkotaan
wtman,teman
qawancara,wawancara
egrarti,berarti
trtinggi,tertinggi
atbak,batak
utaran,putaran
wisanya,sisanya
juawa,jawa
wejala,gejala
wmningkat,meningkat
werambut,rambut
dctatan,catatan
wemasa,semasa
iouncak,puncak
tgbatuan,batuan
ipersamaan,persamaan
amtu,tamu
ituh,jatuh
nlgsung,langsung
mjenentukan,menentukan
uw,kue
qtruktur,struktur
aoma,lama
qemacam,semacam
eepat,tepat
eihilangan,kehilangan
uenyataan,kenyataan
weihasilkan,dihasilkan
ususnan,susunan
umelebihi,melebihi
santara,nusantara
iantai,pantai
rvisual,visual
wengatif,negatif
jmpersiapkan,mempersiapkan
pluncuran,peluncuran
introversi,kontroversi
erubuhnya,tubuhnya
mlibatkan,melibatkan
qardio,radio
orodusen,produsen
qtbel,tabel
qsional,nasional
wqasam,asam
wqartawan,wartawan
jmcam,macam
tgupati,bupati
ngajak,mengajak
wsuku,suku
oliik,lirik
gbrtarung,bertarung
rtubernur,gubernur
gkatan,angkatan
ulga,liga
utentukan,ditentukan
yuniversitas,universitas
wdoktor,doktor
operalatan,peralatan
mjenyebut,menyebut
igital,digital
resatuan,persatuan
epaksa,dipaksa
mjelewati,melewati
mngawali,mengawali
bgatavia,batavia
nuggung,punggung
agngunan,bangunan
aaa,agama
uidjadikan,dijadikan
akmam,makam
ujarak,jarak
oimiah,ilmiah
swesama,sesama
ayang,wayang
abel,tabel
rtbuh,tubuh
sarga,warga
eoko,toko
uihancurkan,dihancurkan
wnjaga,menjaga
enemark,denmark
weprsonel,personel
yulau,pulau
enmgejar,mengejar
wrsamaan,bersamaan
mp,kamp
gakal,bakal
seir,mesir
ams,masa
ueku,suku
airet,karet
eosisir,pesisir
ebrsifat,bersifat
hsantara,nusantara
ostrik,listrik
uysuf,yusuf
qafkultas,fakultas
porabu,prabu
uui,juli
elvel,level
wsesungguhnya,sesungguhnya
rta,harta
releksi,seleksi
oprasasti,prasasti
gban,ban
anrgkaian,rangkaian
wediri,diri
obih,lebih
ikde,kode
werempuan,perempuan
poemakaman,pemakaman
ielar,digelar
ntangan,tantangan
arkang,karang
wat,art
qafmilia,familia
etropis,tropis
gbrhubungan,berhubungan
wsebagai,sebagai
ikuala,kuala
rtang,terang
hnovember,november
leas,belas
uinyatakan,dinyatakan
ik,jika
puya,upaya
jembuka,membuka
necari,mencari
iesebabkan,disebabkan
edisik,fisik
rktor,rektor
eworang,seorang
mjedis,medis
rtulis,tulis
weknaikan,kenaikan
webrkat,berkat
kwspor,ekspor
ewbelah,sebelah
at,amat
rta,data
ueta,duta
wepan,depan
erp,dpr
wpnyebaran,penyebaran
qpat,dapat
wksadaran,kesadaran
oal,lokal
erakhta,takhta
aip,api
iosi,isi
llat,lalat
toif,motif
ytu,yu
neerbitan,penerbitan
ejlepaskan,melepaskan
oesiden,presiden
ujuul,judul
ertakhir,terakhir
ekbanyakan,kebanyakan
erterlibat,terlibat
empenang,pemenang
haabat,sahabat
adir,hadir
ssi,saksi
gaak,agak
ujaster,master
bgerusia,berusia
aqktris,aktris
eitujuh,ketujuh
wsuur,sumur
wdasar,dasar
iorupsi,korupsi
wqakademik,akademik
uadir,hadir
ewjauh,sejauh
wqalat,alat
qwswasta,swasta
errnak,ternak
dpat,cepat
wmndorong,mendorong
wwadah,wadah
weditarik,ditarik
wqngkatan,angkatan
bnten,banten
gerharap,berharap
